compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"Silane, [[(3alpha,5beta,20R)-pregnane-3,20-diyl]bis(oxy)]bis[dimethyl-2-propenyl-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)CC=C)C)C)O[Si](C)(C)CC=C,4.0811095,82964.15156553173,inactive
"5alpha-Pregnane-3,15,20-trione",CC(=O)C1CC(=O)C2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"Pregnane-3,6,20-triol",CC(C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C)O,4.754738,17589.85040632128,inactive
"(20S)-5alpha-pregnane-3beta,20-diyl disulfate",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)[O-])C)C)OS(=O)(=O)[O-],5.0484233,8944.925128371688,intermediate
"(20S)-Pregnane-3alpha,20-diol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"16beta-Bromo-3beta,17alpha-dihydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1(C(CC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C)Br)O,4.075979,83950.01290056143,inactive
"5beta-Pregnane-3alpha,11beta,17,20beta-tetrol, cyclic 17,20-(2-methyl-2-propaneboronate)",B1(OC(C2(O1)CCC3C2(CC(C4C3CCC5C4(CCC(C5)O)C)O)C)C)C(C)(C)C,5.045681,9001.58527888306,intermediate
"Silane, (5alpha-pregnane-3beta,16alpha,20alpha-triyltrioxy)tris*trimethyl-",CC(C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.319501,47918.04343387152,inactive
"5beta-Pregnane-3alpha,17,20beta-triol, cyclic 17,20-(1-butaneboronate)",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C)C)CCCC,5.055798,8794.31355981319,intermediate
"5beta-Pregnane-11,20-dione, 3alpha,17,21-trihydroxy-, cyclic 17,21-methaneboronate",B1(OCC(=O)C2(O1)CCC3C2(CC(=O)C4C3CCC5C4(CCC(C5)O)C)C)C,4.068151,85476.9471704695,inactive
"5-beta-Pregnane-3beta, 16alpha, 20alpha-triol, MO TMS",CC(C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.319501,47918.04343387152,inactive
"Pregnane-15,20-dione, 3,12,14-tris(acetyloxy)-, (3beta,5alpha,12beta,14beta)-",CC(=O)C1CC(=O)C2(C1(C(CC3C2CCC4C3(CCC(C4)OC(=O)C)C)OC(=O)C)C)OC(=O)C,5.9661922,1080.9553479692436,intermediate
"Pregnane-3,20-dione, 16-methylene-11,17,21-tris[(trifluoroacetyl)oxy]-, (5alpha,11alpha)-",CC12CCC(=O)CC1CCC3C2C(CC4(C3CC(=C)C4(C(=O)COC(=O)C(F)(F)F)OC(=O)C(F)(F)F)C)OC(=O)C(F)(F)F,4.657859,21985.743222956044,inactive
"3alpha,11alpha-Diamino-pregnane",CCC1CCC2C1(CC(C3C2CCC4C3(CCC(C4)N)C)N)C,4.2862363,51732.52947152648,inactive
"2beta(2'-Chloroethoxy)-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)OCCCl)C)C,4.1000295,79427.43383536782,inactive
"21-Hydroxy-5b-pregnane-3,11,20-trione",CC12CCC(=O)CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C,4.152616,70369.42072747265,inactive
"3a,21-Dihydroxy-5b-pregnane-11,20-dione",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C)O,4.444386,35942.97283031191,inactive
20-Methyl-5alpha(H)-pregnane,CC(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4.2796288,52525.62712609421,inactive
"Pregnane-3,20-diol, bis(trifluoroacetate), (3beta,5alpha)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC(=O)C(F)(F)F)C)C)OC(=O)C(F)(F)F,4.934367,11631.42219991554,inactive
"5beta-Pregnane, 3alpha,11beta,17,20alpha,21-pentakis(trimethylsiloxy)-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.6490445,22436.519453288885,inactive
"17-[(Trimethylsilyl)oxy]pregnane-3,20-dione bis(O-methyloxime)",CC(=NOC)C1(CCC2C1(CCC3C2CCC4C3(CCC(=NOC)C4)C)C)O[Si](C)(C)C,4.0473228,89676.2109479408,inactive
"Pregnane-3,20-dione, 17-[(trimethylsilyl)oxy]-, bis(O-methyloxime), (5beta)-",CC(=NOC)C1(CCC2C1(CCC3C2CCC4C3(CCC(=NOC)C4)C)C)O[Si](C)(C)C,4.0473228,89676.2109479408,inactive
"11beta,16alpha,17,21-Tetrahydroxy-5,9-(epoxybenzylylideneamino)-5alpha-pregnane-3,20-dione-16,17-acetonide",CC(=O)OCC(=O)C12C(CC3C1(CC(C45C3CCC6(C4(CCC(=O)C6)C)OC(=N5)C7=CC=CC=C7)O)C)OC(O2)(C)C,3.6763976,210669.87519553164,inactive
"3alpha-(Tetrahydropyran-2xi-yloxy)-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)OC5CCCCO5)C)C,4.2628536,54594.18380322082,inactive
"5beta-Pregnane-17,20alpha-diol, 3alpha-(trimethylsiloxy)-, cyclic methaneboronate",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(C5)O[Si](C)(C)C)C)C)C)C,4.7224517,18947.342825716765,inactive
